,3T3L1-D0-rep1,3T3L1-D0-rep2,3T3L1-D0-rep3,3T3L1-D2-rep1,3T3L1-D2-rep2,3T3L1-D2-rep3,3T3L1-D6-rep1,3T3L1-D6-rep2,3T3L1-D6-rep3
ENSMUSG00000032883,322.617775444494,312.074619778126,338.477279464569,343.47113513455,314.658321258001,343.782045456,413.794482864002,413.705630141521,463.082331334389
ENSMUSG00000026494,1017.33458023601,894.949474137917,969.905654606075,1181.82523716415,1319.06435335308,1134.27489249255,879.918947167479,932.280826993335,762.034216119881
ENSMUSG00000025915,179.122139127157,164.090848463982,165.279841142056,85.3596903884682,101.065752192139,93.6651680733414,174.433271464919,207.814921187369,181.715851536279
ENSMUSG00000079470,48.4916288244791,50.3346160932462,37.6085866071743,46.7445923555897,47.9280886684373,64.8451163584671,78.4949721592134,85.6274443781288,67.4107191182972
ENSMUSG00000099377,10.8858758585565,18.1204617935686,26.7218904840449,28.4532301294894,11.4610646815828,25.7321890311378,36.8248017537051,31.7495018480702,18.5623719311253
ENSMUSG00000046334,10.8858758585565,11.0736155405142,21.7733922462588,26.4208565488116,25.0059593052716,11.3221631737006,18.4124008768525,10.5831672826901,11.7236033249212
ENSMUSG00000055067,280.063897088318,272.813619225394,235.548516118618,134.136656324736,131.281286352676,149.246696380599,162.804386700591,153.93697865731,170.969215155101
ENSMUSG00000054702,12.8651260146577,11.0736155405142,7.91759718045776,14.2266150647447,4.16765988421194,9.26358805120959,4.8453686518033,13.4694856325146,2.93090083123031
ENSMUSG00000026492,116.77575920997,82.5487703929237,101.939063698394,182.913622261003,159.412990571107,156.451709309318,150.206428205902,151.050660307486,176.831016817562
ENSMUSG00000038949,549.24191831808,534.553622910274,598.768286772118,406.474716135563,354.251090158015,357.162783752192,650.248473072003,665.777432692866,620.374009277082
ENSMUSG00000026043,65460.7300378126,62883.0358852924,63349.6847404901,47529.0885577313,57574.1374704458,54327.8560576605,58832.4661701957,64696.8258113176,55462.4133963149
ENSMUSG00000038936,375.067904581175,347.308851043399,302.848092152509,336.357827602178,316.742151200107,364.367796680911,626.990703543347,621.52055132889,610.604339839648
ENSMUSG00000042772,1514.12636941741,1623.79471516812,1557.78724525506,2310.80876123067,2240.11718776392,2398.24001770204,1778.25029521181,1786.63105854141,1724.34665570717
ENSMUSG00000026042,17169.0054790998,16880.216853031,16693.2639553476,12775.5003281407,14194.0076506548,14328.7121400987,14095.1774080958,14732.7309636212,12979.0058476316
ENSMUSG00000073643,2509.68919793631,2411.02811086649,2452.47572664679,1018.21916391958,997.112627297706,1059.13690052163,1709.4460603562,1703.8899325131,1665.72863908256
ENSMUSG00000026248,370.119779190922,360.395851227643,368.168268891286,384.118606748107,356.334920100121,366.426371803402,542.68128900197,596.505792297077,598.880736514727
ENSMUSG00000026249,4753.169249877,4679.10591202816,4724.82611743817,3657.25625842972,3483.12174823013,3634.4143787579,1619.32220343266,1901.12168641778,1676.47527546374
ENSMUSG00000042751,645.235550888987,658.37677849966,628.459276198834,810.917058690447,726.21473482393,734.911318729294,318.825257288657,331.926610229825,330.214826985282
ENSMUSG00000100397,19.7925015610119,21.1405387591634,41.5673851974032,25.4046697584727,19.7963844500067,21.6150387861557,35.8557280233444,20.204228448772,31.26294219979
ENSMUSG00000026491,1517.09524465156,1547.28609870639,1559.76664455018,2204.10914824509,2309.92549082447,2422.94291917193,1913.9206174623,2001.18072254503,1951.97995359939
ENSMUSG00000025917,1049.99220781168,922.13016682827,1030.27733310707,1149.3072598733,1164.86093763724,1157.9485064012,1362.51766488709,1310.38853082035,1413.67116759675
