GeneID,GeneSymbol,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000826,Dnajc5,0.230823950240213,0.0514437062174661,NA,6.79174706276524e-06,1.84826534969267e-05
ENSMUSG00000000827,Tpd52l2,-0.337367257908452,0.0600314692347858,NA,1.64527923219627e-08,5.61974921273172e-08
ENSMUSG00000000838,Fmr1,0.970292043877094,0.0739086808370899,NA,8.87578384057068e-40,1.09949741681922e-38
ENSMUSG00000000869,Il4,-0.267596120884144,0.313552271021094,NA,0.331091708812065,0.411681659101037
ENSMUSG00000000876,Pxmp4,0.414827584265485,0.0790875478243104,NA,1.23789177815685e-07,3.91446881024619e-07
ENSMUSG00000000881,Dlg3,-0.356667979881971,0.0680028947760942,NA,1.16026438293611e-07,3.67869146498712e-07
ENSMUSG00000000884,Gnb1l,-0.714505900809693,0.210055948116343,NA,0.000330040761059834,0.000739556854811663
ENSMUSG00000000901,Mmp11,-4.558265770131,0.0725085811931515,NA,0,0
ENSMUSG00000000902,Smarcb1,-0.570105992329224,0.0656413728591177,NA,2.52371777492239e-18,1.521449648925e-17
ENSMUSG00000000915,Hip1r,-0.11808770658718,0.0872754559540805,NA,0.169382587615831,0.231544468091551
ENSMUSG00000000916,Nsun5,0.268373074197446,0.097992110410658,NA,0.00600638672697405,0.0111584081170449
ENSMUSG00000000934,Top1mt,-0.116823804083742,0.124399590497186,NA,0.338560260833296,0.419528510087087
ENSMUSG00000000942,Hoxa4,-0.321567143855803,0.272192944134144,NA,0.192620153960988,0.259153202309832
ENSMUSG00000000948,ENSMUSG00000000948,1.26807451237261,0.278774758596571,NA,1.17928837294778e-06,3.44229486514947e-06
ENSMUSG00000000957,Mmp14,-1.98668860246683,0.0556721996189523,NA,6.0564524588416e-280,1.57427387580156e-277
ENSMUSG00000000958,Slc7a7,-0.663445000606998,0.47483965205326,NA,0.0683506250640209,0.103807220615296
ENSMUSG00000000959,Oxa1l,-0.275331565097464,0.060448241672094,NA,4.74165309599376e-06,1.30886410062157e-05
ENSMUSG00000000976,Heatr6,0.146481763800025,0.0718314581151195,NA,0.040054207924196,0.0641219008861063
ENSMUSG00000001016,Ilf2,0.774837939808983,0.0645480721523941,NA,1.60233304508755e-33,1.66711048506907e-32
ENSMUSG00000001017,Chtop,0.112361835404153,0.0606873614765025,NA,0.0641855781768626,0.098064094557832
ENSMUSG00000001018,Snapin,-0.60981075034271,0.0694537239112268,NA,9.97159284499844e-19,6.10588778997235e-18
ENSMUSG00000001020,S100a4,0.00524278670128142,0.0869976490303635,NA,0.952603470048553,0.964539616884843
ENSMUSG00000001021,S100a3,-1.53533055295289,0.55245758475443,NA,0.000783223490241266,0.00166192565357861
ENSMUSG00000001025,S100a6,-0.5957760254533,0.0567987627649246,NA,6.22411079847174e-26,5.08226345617619e-25
ENSMUSG00000001034,Mapk7,-0.193596931703652,0.0737753096092748,NA,0.00825314967533042,0.0149722138346462
ENSMUSG00000001036,Epn2,0.773951162795812,0.0666994646789568,NA,1.89086890140697e-31,1.86056727989546e-30
ENSMUSG00000001039,B9d1,-0.266679032479547,0.153161638192371,NA,0.0728403106539744,0.109872939709126
ENSMUSG00000001052,Sec24b,0.0891289551320421,0.0606065000921407,NA,0.139667308025898,0.195762679605636
ENSMUSG00000001053,N4bp3,-0.813396847417109,0.332435566389318,NA,0.00563412805768984,0.0105145220997644
ENSMUSG00000001054,Rmnd5b,-0.0305268024374308,0.0830214001512952,NA,0.710293159100738,0.76811344538449
ENSMUSG00000001056,Nhp2,0.933338511072086,0.0821414434928489,NA,2.33403874152182e-30,2.22776427250761e-29
ENSMUSG00000001062,Vps9d1,-0.720394713154747,0.10482845327297,NA,3.22724375938221e-12,1.39889087468941e-11
ENSMUSG00000001065,Zfp276,-0.357105459659401,0.101503879258686,NA,0.000364383138817402,0.000811729671903471
ENSMUSG00000001082,Mfsd10,0.065012407070025,0.0741011990887876,NA,0.37818391787903,0.460577571703994
ENSMUSG00000001089,Luzp1,-0.407612969083202,0.0565337031057635,NA,4.32016846590346e-13,1.97703484138e-12
ENSMUSG00000001098,Kctd10,-0.197430550888907,0.0541820005367512,NA,0.00025469223207105,0.00057903499291255
ENSMUSG00000001100,Poldip2,0.42677971719835,0.0588272634463252,NA,3.37059353073277e-13,1.55250374203509e-12
ENSMUSG00000001105,Ift20,0.305663767579996,0.0897670164947378,NA,0.00058748801164542,0.00127044689817276
ENSMUSG00000001119,Col6a1,1.33406248733332,0.0463447613307235,NA,1.41655157177011e-180,1.47283588755511e-178
ENSMUSG00000001120,Pcbp3,1.15292041156265,0.0992346304457243,NA,9.01933210785059e-32,8.94818724898459e-31
ENSMUSG00000001123,Lgals9,-1.40190688843786,0.0641400634086523,NA,1.25758457666149e-106,5.85471315152617e-105
ENSMUSG00000001127,Araf,-0.249123823003115,0.0578538933330916,NA,1.5360060831467e-05,4.03088522173244e-05
ENSMUSG00000001128,Cfp,-0.212862399775494,0.170068850134566,NA,0.19420339949461,0.260900699329653
ENSMUSG00000001131,Timp1,-0.116356446036628,0.057412830450669,NA,0.0418296440442721,0.0666164738603562
ENSMUSG00000001134,Uxt,0.042958395313946,0.210978382871786,NA,0.830799818009,0.869549289421406
ENSMUSG00000001138,Cnnm3,-0.159846353616842,0.095275597709318,NA,0.0897222746383192,0.132184828571625
ENSMUSG00000001143,Lman2l,0.719436851216864,0.0873503401681929,NA,9.13952237062758e-17,5.08345188631625e-16
ENSMUSG00000001150,Mcm3ap,-0.15323556827836,0.0679468114339205,NA,0.0232015124794678,0.038883600755403
ENSMUSG00000001151,Pcnt,0.781697704154443,0.085491989916745,NA,2.81607302965435e-20,1.84846275128322e-19
ENSMUSG00000001156,Mxd1,0.423599287299181,0.101639436111886,NA,2.43927782466018e-05,6.30059240698911e-05
ENSMUSG00000001157,Gmcl1,0.434363489983499,0.0863069205555134,NA,3.49903167480362e-07,1.06608144420557e-06
ENSMUSG00000001158,Snrnp27,-0.00709573924775203,0.0841633958021988,NA,0.919629979567261,0.940433359211265
ENSMUSG00000001166,Oas1c,-1.77397220888076,0.200398547023606,NA,1.33662480547817e-19,8.51552306627348e-19
ENSMUSG00000001168,Oas1h,-2.99831771093586,1.05361357710041,NA,0.00109197242581424,0.00227466300961652
ENSMUSG00000001173,Ocrl,0.155293978918374,0.0634255192764005,NA,0.0139135026774044,0.0243011461596638
ENSMUSG00000001175,Calm1,0.376303500798341,0.0443115733002381,NA,1.75575329292304e-17,1.01756701436e-16
ENSMUSG00000001211,Agpat3,-0.86921108583985,0.0584430562360582,NA,1.98910119214202e-50,3.1367059851008e-49
ENSMUSG00000001228,Uhrf1,2.1653340670252,0.115210546466097,NA,1.03991336108633e-79,2.97586950082612e-78
ENSMUSG00000001229,Dpp9,-0.306568321863875,0.0615735569110415,NA,5.66105852222843e-07,1.69722931012446e-06
ENSMUSG00000001248,Gramd1a,0.40674753196847,0.055452191964801,NA,1.84930765345775e-13,8.64562414967837e-13
ENSMUSG00000001270,Ckb,-1.85162767337276,0.551083643610671,NA,0.000101507767456406,0.000243743670708253
ENSMUSG00000001280,Sp1,-0.129810764236939,0.0610072268053193,NA,0.0325257874929167,0.0529677541755799
ENSMUSG00000001281,Itgb7,0.0774674502524187,0.355924748543301,NA,0.797612412496973,0.84080545398189
ENSMUSG00000001285,Myg1,-0.0326990914244026,0.0721355606038198,NA,0.647837611817909,0.715000735539743
ENSMUSG00000001288,Rarg,-0.913256042034511,0.0564746734590217,NA,3.05087244231219e-59,5.96258228199259e-58
ENSMUSG00000001289,Pfdn5,-0.665397430457202,0.0639799315120242,NA,1.39354624136781e-25,1.12261090807709e-24
ENSMUSG00000001300,Efnb2,0.761835451400156,0.0924257296861165,NA,8.20962478495462e-17,4.57602959778957e-16
ENSMUSG00000001305,Rrp15,0.342941359424468,0.0982238244972839,NA,0.000411288623162867,0.000911273954659479
ENSMUSG00000001313,Rnd2,-0.919788382405135,0.134439385701509,NA,2.90633525279803e-12,1.26470994985039e-11
ENSMUSG00000001323,Srr,-0.182313621973798,0.081470538743744,NA,0.0245755609053344,0.0410364505224406
ENSMUSG00000001333,Sync,-2.3968340599759,0.703537030318776,NA,4.75012227290004e-05,0.000118532651149039
ENSMUSG00000001366,Fbxo9,0.576415830555653,0.0907922223003346,NA,1.40253815085367e-10,5.53351505203993e-10
