Geneid,3T3L1-D0-rep1_aligned.bam,3T3L1-D0-rep2_aligned.bam,3T3L1-D0-rep3_aligned.bam,3T3L1-D2-rep1_aligned.bam,3T3L1-D2-rep2_aligned.bam,3T3L1-D2-rep3_aligned.bam,3T3L1-D6-rep1_aligned.bam,3T3L1-D6-rep2_aligned.bam,3T3L1-D6-rep3_aligned.bam
ENSMUSG00000064967,0,0,0,0,0,0,0,0,0
ENSMUSG00000102922,0,0,0,0,0,0,0,0,0
ENSMUSG00000025915,181,163,167,84,97,91,180,216,186
ENSMUSG00000079470,49,50,38,46,46,63,81,89,69
ENSMUSG00000099377,11,18,27,28,11,25,38,33,19
ENSMUSG00000099706,0,1,1,0,0,0,1,0,0
ENSMUSG00000047330,1,2,0,1,1,1,1,0,1
ENSMUSG00000101324,0,0,0,0,0,0,1,1,0
ENSMUSG00000072978,5,5,7,2,8,4,8,15,3
ENSMUSG00000046334,11,11,22,26,24,11,19,11,12
ENSMUSG00002075801,0,0,0,0,0,0,0,0,0
ENSMUSG00000050711,5,9,10,0,0,0,3,1,1
ENSMUSG00000099562,0,1,0,0,0,0,0,0,0
ENSMUSG00000077782,0,0,0,0,0,0,0,0,0
ENSMUSG00000055067,283,271,238,132,126,145,168,160,175
ENSMUSG00000054702,13,11,8,14,4,9,5,14,3
ENSMUSG00000096474,0,0,0,0,0,0,1,1,2
ENSMUSG00000102235,0,0,0,0,0,0,1,1,0
ENSMUSG00000026492,118,82,103,180,153,152,155,157,181
ENSMUSG00000082395,0,0,3,2,4,1,1,1,1
ENSMUSG00000038949,555,531,605,400,340,347,671,692,635
ENSMUSG00000026043,66147,62465,64009,46772,55258,52782,60710,67245,56770
ENSMUSG00000046101,0,0,1,3,2,0,0,2,1
ENSMUSG00002074901,0,0,0,0,0,0,0,0,0
ENSMUSG00000093178,0,0,0,0,0,0,0,0,0
ENSMUSG00000099032,1,0,0,1,0,0,0,0,0
ENSMUSG00000104025,0,0,0,0,0,0,0,0,2
ENSMUSG00000038936,379,345,306,331,304,354,647,646,625
ENSMUSG00000042772,1530,1613,1574,2274,2150,2330,1835,1857,1765
ENSMUSG00000100394,1,0,0,1,0,0,0,0,1
ENSMUSG00000103840,0,0,0,0,0,0,0,0,0
ENSMUSG00000087236,0,0,0,0,0,0,0,0,0
ENSMUSG00000100702,1,0,2,1,2,0,2,0,1
ENSMUSG00000026042,17349,16768,16867,12572,13623,13921,14545,15313,13285
ENSMUSG00000104476,13,13,7,5,0,4,0,2,0
ENSMUSG00000073643,2536,2395,2478,1002,957,1029,1764,1771,1705
ENSMUSG00000104497,0,0,0,0,0,0,0,0,0
ENSMUSG00000025916,5,2,2,2,0,1,2,1,0
ENSMUSG00000087199,0,0,0,0,0,0,0,0,0
ENSMUSG00000026248,374,358,372,378,342,356,560,620,613
ENSMUSG00000119658,0,0,0,0,0,0,1,1,2
ENSMUSG00000026249,4803,4648,4774,3599,3343,3531,1671,1976,1716
ENSMUSG00000042751,652,654,635,798,697,714,329,345,338
ENSMUSG00000067106,1,0,0,0,2,1,2,2,2
ENSMUSG00000099969,0,0,0,0,0,0,0,0,0
ENSMUSG00000100397,20,21,42,25,19,21,37,21,32
ENSMUSG00000099753,0,0,0,0,0,0,0,0,0
ENSMUSG00000118883,0,0,0,0,0,0,0,0,0
ENSMUSG00000102518,0,0,0,0,0,0,0,0,1
ENSMUSG00000043230,0,0,0,0,0,0,0,0,0
ENSMUSG00000103404,0,0,0,0,0,0,0,0,0
ENSMUSG00000026491,1533,1537,1576,2169,2217,2354,1975,2080,1998
ENSMUSG00000025917,1061,916,1041,1131,1118,1125,1406,1362,1447
ENSMUSG00000104418,0,1,0,1,1,0,0,1,0
ENSMUSG00000026479,84,85,92,111,84,69,121,78,110
ENSMUSG00000004364,2475,2460,2204,2752,2545,2808,2510,2431,2578
ENSMUSG00000103076,14,7,11,32,16,28,22,27,27
ENSMUSG00000103525,2,0,0,0,0,2,2,1,0
ENSMUSG00000090637,0,0,0,0,0,0,0,0,0
ENSMUSG00000026478,13456,12985,14081,33230,35063,34403,10728,10609,10330
ENSMUSG00000110100,0,0,0,0,0,0,0,0,0
ENSMUSG00000103818,0,1,0,0,2,3,1,0,2
ENSMUSG00000079138,4,4,0,0,4,4,0,3,11
ENSMUSG00000042708,2,3,1,4,6,8,2,6,3
ENSMUSG00000064435,0,1,0,0,2,0,0,1,1
ENSMUSG00000103543,2,3,1,6,4,8,1,1,1
ENSMUSG00000041144,31,24,16,2,5,2,10,13,11
ENSMUSG00000119743,0,0,0,0,0,0,0,0,0
ENSMUSG00000042699,3146,3172,3199,4001,4295,4308,3073,3222,3174
ENSMUSG00000101262,5,5,9,3,10,4,7,6,4
ENSMUSG00000042684,2,2,1,0,4,2,4,6,6
ENSMUSG00000099858,49,78,61,59,80,81,77,83,126
ENSMUSG00000101337,1,2,1,0,0,1,0,1,0
ENSMUSG00000025986,336,324,361,267,259,253,248,236,259
ENSMUSG00000100213,28,23,20,13,24,26,21,39,42
ENSMUSG00000103129,0,0,0,0,0,0,0,0,0
ENSMUSG00000100160,2,0,6,0,3,6,1,0,0
ENSMUSG00000101921,0,0,0,0,0,0,0,0,0
ENSMUSG00000101447,0,0,0,0,0,0,0,0,0
ENSMUSG00000081185,0,0,1,0,0,0,1,0,2
ENSMUSG00000103246,0,0,0,0,0,0,0,0,0
ENSMUSG00000098876,0,0,0,0,0,0,0,0,0
ENSMUSG00000100530,0,0,0,0,0,0,0,0,0
ENSMUSG00000104067,0,0,0,0,0,0,0,0,0
ENSMUSG00000100033,11,8,11,10,12,13,12,15,10
ENSMUSG00002075213,0,0,0,0,0,0,0,0,0
ENSMUSG00002076633,0,0,0,0,0,0,0,0,0
ENSMUSG00000101996,0,0,0,0,0,0,0,0,0
ENSMUSG00000096973,0,0,0,0,0,0,0,0,0
ENSMUSG00000064943,0,0,0,0,0,0,0,0,0
ENSMUSG00000100866,0,0,0,0,0,0,0,0,0
ENSMUSG00000101721,0,0,0,0,0,0,0,0,0
ENSMUSG00000099376,0,0,0,0,0,0,0,0,0
ENSMUSG00000097883,0,0,0,0,0,0,0,0,0
ENSMUSG00002076043,0,0,0,0,0,0,0,0,0
ENSMUSG00000099698,0,0,0,0,0,0,0,0,0
